GeneSym	NA	GeneID
PFKL	na	5211
UBR5	na	51366
ABCF2	na	10061
MATR3	na	9782
EEF1G	na	1937
TUBB	na	203068
BOP1	na	23246
CDK11B	na	984
RPF2	na	84154
RPS4Y1	na	6192
RRS1	na	23212
TPX2	na	22974
WDR12	na	55759
CEBPZ	na	10153
PIN4	na	5303
PES1	na	23481
NOP2	na	4839
NIFK	na	84365
MRTO4	na	51154
GTPBP4	na	23560
GNL2	na	29889
GAS8	na	2622
FTSJ3	na	117246
DDX56	na	54606
DDX27	na	55661
DDX24	na	57062
DDX18	na	8886
TUBA1B	na	10376
DDX21	na	9188
EBNA1BP2	na	10969
MYBBP1A	na	10514
NOP56	na	10528
NOP58	na	51602
RBM28	na	55131
RSL1D1	na	26156
FBL	na	2091
NCL	na	4691
MND1	na	84057
PSMC3IP	na	29893
FN1	na	2335
TGM2	na	7052
ACTG2	na	72
SRP14	na	6727
TCOF1	na	6949
TUFM	na	7284
SLC25A5	na	292
SCYL2	na	55681
PWP1	na	11137
NOLC1	na	9221
NAP1L1	na	4673
LYAR	na	55646
LUC7L2	na	51631
IGF2BP1	na	10642
HIST1H1D	na	3007
BRIX1	na	55299
H1FX	na	8971
GNL3	na	26354
EEF2	na	1938
TUBA1A	na	7846
TUBB1	na	81027
NHP2L1	na	4809
EEF1A1	na	1915
HNRNPA1	na	3178
HNRNPM	na	4670
ILF2	na	3608
SRPK1	na	6732
HNRNPU	na	3192
ILF3	na	3609
FAU	na	2197
RPS10	na	6204
RPS19	na	6223
RPS20	na	6224
RPS21	na	6227
RPS25	na	6230
RPS26	na	6231
RPS27	na	6232
RPS27A	na	6233
RPS28	na	6234
RPS4X	na	6191
RPS5	na	6193
RPSA	na	3921
RPS3	na	6188
RPS11	na	6205
RPS13	na	6207
RPS12	na	6206
RPS14	na	6208
RPS15	na	6209
RPS15A	na	6210
RPS16	na	6217
RPS17	na	6218
RPS18	na	6222
RPS2	na	6187
RPS23	na	6228
RPS24	na	6229
RPS29	na	6235
RPS3A	na	6189
RPS7	na	6201
RPS6	na	6194
RPS8	na	6202
RPS9	na	6203
RPL10	na	6134
RPL18	na	6141
RPL26	na	6154
RPL3	na	6122
RPLP0	na	6175
RPL13A	na	23521
RPL4	na	6124
RPL8	na	6132
RPL6	na	6128
RPL17	na	6139
RPL22	na	6146
RPL23	na	9349
RPL23A	na	6147
RPL24	na	6152
RPL27A	na	6157
RPL29	na	6159
RPL31	na	6160
RPL35	na	11224
RPL36A	na	6173
RPL39	na	6170
RPL5	na	6125
RPL9	na	6133
RPL10A	na	4736
RPL13	na	6137
RPL14	na	9045
RPL15	na	6138
RPL18A	na	6142
RPL19	na	6143
RPL21	na	6144
RPL7	na	6129
RPL7A	na	6130
RPL11	na	6135
RPL12	na	6136
RPL27	na	6155
RPL28	na	6158
RPL32	na	6161
RPL35A	na	6165
RPL36	na	25873
RPL37A	na	6168
RPLP1	na	6176
RPLP2	na	6181
RPL30	na	6156
RPL34	na	6164
RPL37	na	6167
RPL38	na	6169
RPL41	na	6171
UBA52	na	7311
CALR	na	811
HIST3H2BB	na	128312
H2AFX	na	3014
DHX30	na	22907
NPM1	na	4869
HIST1H2BB	na	3018
PTCD3	na	55037
YBX3	na	8531
HIST1H2BM	na	8342
ACTA2	na	59
MYL12A	na	10627
MYL6	na	4637
WAS	na	7454
WIPF1	na	7456
ZAP70	na	7535
CNN3	na	1266
SIKE1	na	80143
MYO1E	na	4643
MYH9	na	4627
LMO7	na	4008
ACIN1	na	22985
RNPS1	na	10921
ALYREF	na	10189
DDX39B	na	7919
THOC1	na	9984
THOC2	na	57187
THOC5	na	8563
THOC6	na	79228
THOC7	na	80145
THOC3	na	84321
BUD13	na	84811
TXNL4A	na	10907
USP39	na	10713
WBP11	na	51729
ZNF207	na	7756
TCERG1	na	10915
BUD31	na	8896
SRSF9	na	8683
SRSF3	na	6428
SRSF11	na	9295
SNRPC	na	6631
SNRNP27	na	11017
SMU1	na	55234
SF1	na	7536
RBM39	na	9584
RBM25	na	58517
C19ORF43	na	79002
RBM15	na	64783
CDK12	na	51755
PRPF40A	na	55660
PRPF4	na	9128
PRPF3	na	9129
PRPF18	na	8559
PPM1G	na	5496
PPIL2	na	23759
PPIH	na	10465
PAXBP1	na	94104
MFAP1	na	4236
LUC7L3	na	51747
IK	na	3550
IGF2BP3	na	10643
CD2BP2	na	10421
CTNNBL1	na	56259
CIRBP	na	1153
CFAP20	na	29105
KIAA1429	na	25962
SRRT	na	51593
WTAP	na	9589
SRSF4	na	6429
SRSF5	na	6430
SRSF6	na	6431
HTATSF1	na	27336
DHX16	na	8449
SNRNP70	na	6625
TRA2B	na	6434
SRRM2	na	23524
AQR	na	9716
TFIP11	na	24144
XAB2	na	56949
SYF2	na	25949
SNRNP40	na	9410
SLU7	na	10569
SKIV2L2	na	23517
SART1	na	9092
RBM22	na	55696
PRPF6	na	24148
PRPF4B	na	8899
PPWD1	na	23398
PPIL3	na	53938
PPIL1	na	51645
PPIE	na	10450
ISY1	na	57461
CACTIN	na	58509
DHX8	na	1659
DGCR14	na	8220
DDX41	na	51428
CWC22	na	57703
CRNKL1	na	51340
CDC40	na	51362
DHX38	na	9785
DDX23	na	9416
SNRNP200	na	23020
SNW1	na	22938
EFTUD2	na	9343
SF3A1	na	10291
SF3A2	na	8175
SF3A3	na	10946
SNRPB2	na	6629
CWC27	na	10283
DHX35	na	60625
FRG1	na	2483
GPATCH1	na	55094
HNRNPA3	na	220988
PNN	na	5411
WDR83	na	84292
ZCCHC8	na	55596
RBMX	na	27316
PABPC1	na	26986
PRPF8	na	10594
LSM1	na	27257
LSM2	na	57819
LSM3	na	27258
LSM4	na	25804
LSM6	na	11157
LSM7	na	51690
LSM5	na	23658
CHERP	na	10523
HSPD1	na	3329
TRAP1	na	10131
DDX46	na	9879
DNAJC8	na	22826
PUF60	na	22827
RBM17	na	84991
SMNDC1	na	10285
U2SURP	na	23350
U2AF1	na	7307
U2AF2	na	11338
DDX42	na	11325
PHF5A	na	84844
SF3B1	na	23451
SF3B2	na	10992
SF3B4	na	10262
SF3B5	na	83443
SF3B6	na	51639
SF3B3	na	23450
SNRPB	na	6628
SNRPE	na	6635
SNRPF	na	6636
SNRPG	na	6637
SNRPD1	na	6632
SNRPD3	na	6634
SNRPD2	na	6633
BCAS2	na	10286
CDC5L	na	988
PLRG1	na	5356
PRPF19	na	27339
GCN1L1	na	10985
CWC15	na	51503
SNRPA1	na	6627
SRSF1	na	6426
SRSF2	na	6427
SNRPA	na	6626
BZW1	na	9689
DYNC1H1	na	1778
PPM1D	na	8493
SCAF8	na	22828
SFI1	na	9814
PPP1CA	na	5499
TOP2A	na	7153
SRRM1	na	10250
NCBP1	na	4686
NCBP2	na	22916
PHAX	na	51808
CASC3	na	22794
EIF4A3	na	9775
MAGOH	na	4116
RBM8A	na	9939
WIBG	na	84305
HIVEP1	na	3096
SPEN	na	23013
DDX1	na	1653
HNRNPDL	na	9987
HNRNPUL1	na	11100
RALY	na	22913
FUS	na	2521
EWSR1	na	2130
DDX17	na	10521
DDX5	na	1655
DHX15	na	1665
DGCR8	na	54487
DROSHA	na	29102
TARDBP	na	23435
TAF15	na	8148
TAF8	na	129685
HNRNPF	na	3185
HNRNPH1	na	3187
PTBP1	na	5725
PTBP2	na	58155
HNRNPR	na	10236
DHX9	na	1660
SND1	na	27044
STAT6	na	6778
HNRNPA2B1	na	3181
PDCD6	na	10016
PTGES3	na	10728
PDCD7	na	10081
SNRNP25	na	79622
SNRNP35	na	11066
SNRNP48	na	154007
RNPC3	na	55599
ZCRB1	na	85437
ZMAT5	na	55954
ZRSR2	na	8233
YBX1	na	4904
PRKRIP1	na	79706
TOE1	na	114034
SRSF7	na	6432
AGO2	na	27161
DICER1	na	23405
TARBP2	na	6895
EIF6	na	3692
MOV10	na	4343
RSL24D1	na	51187
FXR1	na	8087
CAPRIN1	na	4076
CPSF7	na	79869
PCF11	na	51585
TJP1	na	7082
CPSF6	na	11052
NUDT21	na	11051
ITCH	na	83737
UBAP2L	na	9898
CLP1	na	10978
TSEN2	na	80746
TSEN54	na	283989
TSEN15	na	116461
TSEN34	na	79042
USP9X	na	8239
CSDE1	na	7812
PAIP1	na	10605
SYNCRIP	na	10492
EIF4G1	na	1981
HNRNPD	na	3184
LSM10	na	84967
LSM11	na	134353
DEK	na	7913
COIL	na	8161
TIMM50	na	92609
DDX20	na	11218
GEMIN4	na	50628
GEMIN2	na	8487
SMN1	na	6606
GEMIN5	na	25929
GEMIN6	na	79833
GEMIN7	na	79760
STRAP	na	11171
GEMIN8	na	54960
SNRPN	na	6638
LGALS1	na	3956
LGALS3	na	3958
PPP4C	na	5531
PPP4R2	na	151987
ACTG1	na	71
CLTC	na	1213
TUBB2B	na	347733
PFN1	na	5216
BCOR	na	54880
RYBP	na	23429
PCGF1	na	84759
KDM2B	na	84678
HSPA8	na	3312
HSPB1	na	3315
HSPH1	na	10808
DNAJB2	na	3300
APITD1	na	378708
CENPP	na	401541
CENPQ	na	55166
ITGB3BP	na	23421
CENPC	na	1060
CENPH	na	64946
CENPM	na	79019
CENPU	na	79682
CENPN	na	55839
CENPT	na	80152
CENPK	na	64105
CENPL	na	91687
CENPO	na	79172
CBX3	na	11335
CENPA	na	1058
CENPB	na	1059
CENPI	na	2491
WDR11	na	55717
ZC3H13	na	23091
ZFP91	na	80829
SHCBP1	na	79801
COBLL1	na	22837
RACGAP1	na	29127
NUP93	na	9688
LPPR3	na	79948
KIF23	na	9493
RSF1	na	51773
NEK9	na	91754
SSRP1	na	6749
SUPT16H	na	11198
BMI1	na	648
PHC2	na	1912
PHC1	na	1911
CBX8	na	57332
PHC3	na	80012
SCMH1	na	22955
RING1	na	6015
RNF2	na	6045
CBX2	na	84733
COMMD3-BMI1	na	100532731
PCGF2	na	7703
CDT1	na	81620
COPS2	na	9318
COPS3	na	8533
COPS4	na	51138
COPS6	na	10980
COPS5	na	10987
COPS8	na	10920
GPS1	na	2873
ERCC8	na	1161
COPS7A	na	50813
COPS7B	na	64708
CUL4A	na	8451
DDB1	na	1642
DDB2	na	1643
DET1	na	55070
RFWD2	na	64326
BAZ1A	na	11177
SMARCA5	na	8467
CHRAC1	na	54108
CDCA5	na	113130
PDS5B	na	23047
PDS5A	na	23244
RAD21	na	5885
SMC1A	na	8243
SMC3	na	9126
STAG2	na	10735
STAG1	na	10274
DNAJB11	na	51726
HSP90B1	na	7184
HYOU1	na	10525
PDIA4	na	9601
PPIB	na	5479
SDF2L1	na	23753
UGGT1	na	56886
P4HB	na	5034
HSPA5	na	3309
P4HA3	na	283208
P4HA1	na	5033
CHEK1	na	1111
ACTB	na	60
EMD	na	2010
LMNB1	na	4001
NMI	na	9111
SPTAN1	na	6709
BANF2	na	140836
TBL1Y	na	90665
TRIM28	na	10155
API5	na	8539
DDX39A	na	10212
HDGF	na	3068
HNRNPL	na	3191
LEMD3	na	23592
PDCD4	na	27250
THRA	na	7067
IQGAP1	na	8826
C1QBP	na	708
HIST1H1A	na	3024
CKB	na	1152
DPYSL2	na	1808
BANF1	na	8815
BCCIP	na	56647
ZRANB2	na	9406
G3BP1	na	10146
SSB	na	6741
HNRNPK	na	3190
LSM8	na	51691
MCM2	na	4171
MCM4	na	4173
MCM6	na	4175
MCM7	na	4176
MCM3	na	4172
MCM5	na	4174
CTCF	na	10664
SET	na	6418
HIST2H2AA4	na	723790
KPNA1	na	3836
KPNA3	na	3839
LMNA	na	4000
DNMT1	na	1786
RGS6	na	9628
HBG1	na	3047
E2F4	na	1874
RBL1	na	5933
E2F5	na	1875
TFDP1	na	7027
RBL2	na	5934
SUV39H1	na	6839
LIN37	na	55957
LIN52	na	91750
LIN54	na	132660
LIN9	na	286826
MYBL2	na	4605
NEUROD1	na	4760
NR4A1	na	3164
CEBPE	na	1053
E2F1	na	1869
RB1	na	5925
SERTAD2	na	9792
GABPB2	na	126626
TRIM27	na	5987
TFAP2A	na	7020
RUNX2	na	860
ASF1A	na	25842
ASF1B	na	55723
NASP	na	4678
HAT1	na	8520
IPO4	na	79711
H3F3A	na	3020
HIRA	na	7290
HIST2H4B	na	554313
CHAF1A	na	10036
CHAF1B	na	8208
HIST1H3A	na	8350
CHEK2	na	11200
ST13	na	6767
NFYA	na	4800
NFYB	na	4801
NFYC	na	4802
IFI35	na	3430
ACTL6A	na	86
ARID1A	na	8289
SMARCD1	na	6602
SMARCA4	na	6597
SMARCB1	na	6598
SMARCC1	na	6599
