"karyotype","arm","omic","type","OR","p","fisher_padj","log2_OR"
"1:0","18q","RNA","Compensated",10.2933566724096,0.00336542220913451,0.0100962666274035,3.32192809488736
"1:0","18q","RNA","Dosage sensitive",0.0971500387896214,0.00336542220913451,0.0100962666274035,-3.32192809488736
"2:0","21q","RNA","Compensated",0,0.0120381613889032,0.0346097139930967,-3.32192809488736
"2:0","4q","RNA","Compensated",0.0843676340081295,0.000322080425378237,0.00246928326123315,-3.32192809488736
"2:0","6q","RNA","Compensated",12.0539529737767,1.36814632478202e-06,1.57336827349933e-05,3.32192809488736
"2:0","9p","RNA","Compensated",0,0.0050983441766286,0.0167517022946368,-3.32192809488736
"2:0","3q","RNA","Compensated",0.148496238774855,0.000717140629256947,0.00412355861822744,-2.75150170507064
"2:0","10q","Protein","Compensated",10.5979447121402,2.4209162559515e-24,5.56810738868845e-23,3.32192809488736
"2:0","14q","Protein","Compensated",0.0998682265312465,0.00184921050915711,0.00890718504823114,-3.32192809488736
"2:0","17p","Protein","Compensated",7.36426778159767,3.02814413678029e-05,0.000348236575729734,2.88054208732865
"2:0","5q","Protein","Compensated",0.183247369908135,0.000413631143014396,0.0031711720964437,-2.44813560292784
"2:0","17q","Protein","Compensated",0.257191880694781,0.00193634457570242,0.00890718504823114,-1.95908299602503
"2:0","21q","RNA","Dosage sensitive",Inf,0.0120381613889032,0.0346097139930967,3.32192809488736
"2:0","4q","RNA","Dosage sensitive",11.8528866164916,0.000322080425378237,0.00246928326123315,3.32192809488736
"2:0","6q","RNA","Dosage sensitive",0.0829603369264416,1.36814632478202e-06,1.57336827349933e-05,-3.32192809488736
"2:0","9p","RNA","Dosage sensitive",Inf,0.0050983441766286,0.0167517022946368,3.32192809488736
"2:0","3q","RNA","Dosage sensitive",6.73417729802683,0.000717140629256946,0.00412355861822744,2.75150170507064
"2:0","10q","Protein","Dosage sensitive",0.0943579181777079,2.4209162559515e-24,5.56810738868845e-23,-3.32192809488736
"2:0","14q","Protein","Dosage sensitive",10.0131947340342,0.00184921050915711,0.00890718504823113,3.32192809488736
"2:0","17p","Protein","Dosage sensitive",0.135790825328061,3.02814413678029e-05,0.000348236575729734,-2.88054208732865
"2:0","5q","Protein","Dosage sensitive",5.45710424384978,0.000413631143014396,0.0031711720964437,2.44813560292783
"2:0","17q","Protein","Dosage sensitive",3.8881476246396,0.00193634457570242,0.00890718504823113,1.95908299602504
"2:1","4p","RNA","Compensated",9.93906271025516,0.000274696705406991,0.00519595683872205,3.31310980681527
"2:1","16p","RNA","Compensated",0.17775186570142,0.00256730432455245,0.0149759418932226,-2.49206339229127
"2:1","12q","RNA","Compensated",0.208286194216233,0.00103815475843239,0.0121118055150445,-2.26336087814853
"2:1","11q","RNA","Compensated",0.232618965145414,0.00301550196345679,0.0150775098172839,-2.10395937208373
"2:1","9q","RNA","Compensated",0.252769299133517,0.00890545272781519,0.0346323161637257,-1.98410684766003
"2:1","8p","Protein","Compensated",5.02034284074244,0.0031103311557139,0.0181435984083311,2.32778588962423
