ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology
GO:0005743,mitochondrial inner membrane,16/101,16/175,1,1.7326732673267327,3.5817166540883343,8.768361295730131e-5,0.0037703953571639566,0.00355349378826958,COA3/COX11/MRPS23/MRPL12/SLC25A10/MRPL10/MRPS7/MRPL27/MRPL58/ATP5PD/ACADVL/CNP/SLC25A11/PHB1/MRPL45/TTC19,16,CC
GO:0019866,organelle inner membrane,16/101,16/175,1,1.7326732673267327,3.5817166540883343,8.768361295730131e-5,0.0037703953571639566,0.00355349378826958,COA3/COX11/MRPS23/MRPL12/SLC25A10/MRPL10/MRPS7/MRPL27/MRPL58/ATP5PD/ACADVL/CNP/SLC25A11/PHB1/MRPL45/TTC19,16,CC
GO:0005759,mitochondrial matrix,12/101,12/175,1,1.7326732673267327,3.063561604834287,0.0010178330093247446,0.016859822141317655,0.015889918052404646,MRPS23/POLDIP2/MRPL12/MRPL10/MRPS7/COASY/MRPL27/LRRC59/MRPL58/ACADVL/C1QBP/MRPL45,12,CC
GO:0005739,mitochondrion,23/101,27/175,0.8518518518518519,1.475980931426476,3.1329973682632732,0.0011083502099821117,0.016859822141317655,0.015889918052404646,COA3/COX11/MRPS23/POLDIP2/NDUFAF8/MRPL12/SLC25A10/MRPL10/MRPS7/COASY/MRPL27/LRRC59/MRPL58/ATP5PD/ACADVL/CNP/CISD3/SLC25A11/PHB1/C1QBP/PTRH2/MRPL45/TTC19,23,CC
GO:0005740,mitochondrial envelope,18/101,20/175,0.9,1.5594059405940595,3.0966753277354973,0.001176266661022162,0.016859822141317655,0.015889918052404646,COA3/COX11/MRPS23/MRPL12/SLC25A10/MRPL10/MRPS7/COASY/MRPL27/MRPL58/ATP5PD/ACADVL/CNP/SLC25A11/PHB1/PTRH2/MRPL45/TTC19,18,CC
GO:0031966,mitochondrial membrane,18/101,20/175,0.9,1.5594059405940595,3.0966753277354973,0.001176266661022162,0.016859822141317655,0.015889918052404646,COA3/COX11/MRPS23/MRPL12/SLC25A10/MRPL10/MRPS7/COASY/MRPL27/MRPL58/ATP5PD/ACADVL/CNP/SLC25A11/PHB1/PTRH2/MRPL45/TTC19,18,CC
GO:0031967,organelle envelope,23/101,28/175,0.8214285714285714,1.4232673267326732,2.8467841867035433,0.003103644765982427,0.03336418123431109,0.03144482197113775,COA3/UTP18/COX11/MRPS23/EIF5A/MRPL12/SLC25A10/MRPL10/KPNA2/MRPS7/COASY/MRPL27/LRRC59/MRPL58/ATP5PD/ACADVL/CTDNEP1/CNP/SLC25A11/PHB1/PTRH2/MRPL45/TTC19,23,CC
GO:0031975,envelope,23/101,28/175,0.8214285714285714,1.4232673267326732,2.8467841867035433,0.003103644765982427,0.03336418123431109,0.03144482197113775,COA3/UTP18/COX11/MRPS23/EIF5A/MRPL12/SLC25A10/MRPL10/KPNA2/MRPS7/COASY/MRPL27/LRRC59/MRPL58/ATP5PD/ACADVL/CTDNEP1/CNP/SLC25A11/PHB1/PTRH2/MRPL45/TTC19,23,CC
